F:\TrainingImages\train_00\fe58ec1b06db2bb7.jpg,189,341,315,442,Table
F:\TrainingImages\train_00\fe58ec1b06db2bb7.jpg,5,334,33,361,Table
F:\TrainingImages\train_00\fe58ec1b06db2bb7.jpg,39,335,73,381,Table
F:\TrainingImages\train_00\fe58ec1b06db2bb7.jpg,73,344,124,391,Table
F:\TrainingImages\train_00\fe58ec1b06db2bb7.jpg,127,352,222,410,Table
F:\TrainingImages\train_00\fe58ec1b06db2bb7.jpg,316,364,529,497,Table
F:\TrainingImages\train_00\fe58ec1b06db2bb7.jpg,526,391,924,575,Table
F:\TrainingImages\train_04\82d16a22f703df5c.jpg,0,452,479,674,Table
F:\TrainingImages\train_04\82d16a22f703df5c.jpg,626,285,752,648,Bottle
F:\TrainingImages\train_04\82d16a22f703df5c.jpg,453,243,1022,680,Bottle
F:\TrainingImages\train_02\b54d41beabcfd900.jpg,0,487,730,634,Table
F:\TrainingImages\train_02\b54d41beabcfd900.jpg,745,7,1006,638,Man
F:\TrainingImages\train_02\b54d41beabcfd900.jpg,120,455,197,638,Chair
F:\TrainingImages\train_02\b54d41beabcfd900.jpg,176,446,206,471,Chair
F:\TrainingImages\train_02\b54d41beabcfd900.jpg,381,451,408,497,Chair
F:\TrainingImages\train_02\b54d41beabcfd900.jpg,560,523,613,638,Chair
F:\TrainingImages\train_02\b54d41beabcfd900.jpg,615,451,673,539,Chair
F:\TrainingImages\train_02\b54d41beabcfd900.jpg,654,451,783,638,Chair
F:\TrainingImages\train_02\b54d41beabcfd900.jpg,720,457,1023,638,Chair
F:\TrainingImages\train_02\b54d41beabcfd900.jpg,1,528,747,634,Desk
F:\TrainingImages\train_02\b54d41beabcfd900.jpg,0,296,177,638,Man
F:\TrainingImages\train_02\b54d41beabcfd900.jpg,359,315,618,638,Man
F:\TrainingImages\train_05\4b6a08cc110d7275.jpg,35,485,192,720,Chair
F:\TrainingImages\train_05\4b6a08cc110d7275.jpg,832,423,1013,633,Desk
F:\TrainingImages\train_05\4b6a08cc110d7275.jpg,196,462,717,733,Table
F:\TrainingImages\train_05\4b6a08cc110d7275.jpg,829,292,915,445,Man
F:\TrainingImages\train_05\4b6a08cc110d7275.jpg,0,394,32,547,Chair
F:\TrainingImages\train_05\4b6a08cc110d7275.jpg,0,416,101,601,Chair
